League;Date;Get;Pay;Value;Confidence
Blight;2019-09-06;Orb of Regret;Chaos Orb;1;High
Blight;2019-09-07;Orb of Regret;Chaos Orb;0.5;High
Blight;2019-09-08;Orb of Regret;Chaos Orb;0.75;High
Blight;2019-09-09;Orb of Regret;Chaos Orb;0.76923;High
Blight;2019-09-10;Orb of Regret;Chaos Orb;0.75;High
Blight;2019-09-11;Orb of Regret;Chaos Orb;0.74068;High
Blight;2019-09-12;Orb of Regret;Chaos Orb;0.625;High
Blight;2019-09-13;Orb of Regret;Chaos Orb;0.59669;High
Blight;2019-09-14;Orb of Regret;Chaos Orb;0.59524;High
Blight;2019-09-15;Orb of Regret;Chaos Orb;0.60976;High
Blight;2019-09-16;Orb of Regret;Chaos Orb;0.58824;High
Blight;2019-09-17;Orb of Regret;Chaos Orb;0.52286;High
Blight;2019-09-18;Orb of Regret;Chaos Orb;0.49236;High
Blight;2019-09-19;Orb of Regret;Chaos Orb;0.5;High
Blight;2019-09-20;Orb of Regret;Chaos Orb;0.5;High
Blight;2019-09-21;Orb of Regret;Chaos Orb;0.5;High
Blight;2019-09-22;Orb of Regret;Chaos Orb;0.47619;High
Blight;2019-09-23;Orb of Regret;Chaos Orb;0.45015;High
Blight;2019-09-24;Orb of Regret;Chaos Orb;0.44444;High
Blight;2019-09-25;Orb of Regret;Chaos Orb;0.43979;High
Blight;2019-09-26;Orb of Regret;Chaos Orb;0.44444;High
Blight;2019-09-27;Orb of Regret;Chaos Orb;0.44444;High
Blight;2019-09-28;Orb of Regret;Chaos Orb;0.44444;High
Blight;2019-09-29;Orb of Regret;Chaos Orb;0.44444;High
Blight;2019-09-30;Orb of Regret;Chaos Orb;0.44444;High
Blight;2019-10-01;Orb of Regret;Chaos Orb;0.44033;High
Blight;2019-10-02;Orb of Regret;Chaos Orb;0.43904;High
Blight;2019-10-03;Orb of Regret;Chaos Orb;0.44444;High
Blight;2019-10-04;Orb of Regret;Chaos Orb;0.44634;High
Blight;2019-10-05;Orb of Regret;Chaos Orb;0.45;High
Blight;2019-10-06;Orb of Regret;Chaos Orb;0.44808;High
Blight;2019-10-07;Orb of Regret;Chaos Orb;0.44179;High
Blight;2019-10-08;Orb of Regret;Chaos Orb;0.44444;High
Blight;2019-10-09;Orb of Regret;Chaos Orb;0.43478;High
Blight;2019-10-10;Orb of Regret;Chaos Orb;0.44444;High
Blight;2019-10-11;Orb of Regret;Chaos Orb;0.43818;High
Blight;2019-10-12;Orb of Regret;Chaos Orb;0.43576;High
