League;Date;Get;Pay;Value;Confidence
Legion;2019-06-07;Orb of Alchemy;Chaos Orb;0.34;High
Legion;2019-06-08;Orb of Alchemy;Chaos Orb;0.27347;High
Legion;2019-06-09;Orb of Alchemy;Chaos Orb;0.27028;High
Legion;2019-06-10;Orb of Alchemy;Chaos Orb;0.32258;High
Legion;2019-06-11;Orb of Alchemy;Chaos Orb;0.32196;High
Legion;2019-06-12;Orb of Alchemy;Chaos Orb;0.3105;High
Legion;2019-06-13;Orb of Alchemy;Chaos Orb;0.2941;High
Legion;2019-06-14;Orb of Alchemy;Chaos Orb;0.28571;High
Legion;2019-06-15;Orb of Alchemy;Chaos Orb;0.27778;High
Legion;2019-06-16;Orb of Alchemy;Chaos Orb;0.27027;High
Legion;2019-06-17;Orb of Alchemy;Chaos Orb;0.27778;High
Legion;2019-06-18;Orb of Alchemy;Chaos Orb;0.29412;High
Legion;2019-06-19;Orb of Alchemy;Chaos Orb;0.33333;High
Legion;2019-06-20;Orb of Alchemy;Chaos Orb;0.37037;High
Legion;2019-06-21;Orb of Alchemy;Chaos Orb;0.43064;High
Legion;2019-06-22;Orb of Alchemy;Chaos Orb;0.44063;High
Legion;2019-06-23;Orb of Alchemy;Chaos Orb;0.43593;High
Legion;2019-06-24;Orb of Alchemy;Chaos Orb;0.43183;High
Legion;2019-06-25;Orb of Alchemy;Chaos Orb;0.41667;High
Legion;2019-06-26;Orb of Alchemy;Chaos Orb;0.41667;High
Legion;2019-06-27;Orb of Alchemy;Chaos Orb;0.41548;High
Legion;2019-06-28;Orb of Alchemy;Chaos Orb;0.4215;High
Legion;2019-06-29;Orb of Alchemy;Chaos Orb;0.42621;High
Legion;2019-06-30;Orb of Alchemy;Chaos Orb;0.42857;High
Legion;2019-07-01;Orb of Alchemy;Chaos Orb;0.42998;High
Legion;2019-07-02;Orb of Alchemy;Chaos Orb;0.44509;High
Legion;2019-07-03;Orb of Alchemy;Chaos Orb;0.45898;High
Legion;2019-07-04;Orb of Alchemy;Chaos Orb;0.47064;High
Legion;2019-07-05;Orb of Alchemy;Chaos Orb;0.4878;High
Legion;2019-07-06;Orb of Alchemy;Chaos Orb;0.52174;High
Legion;2019-07-07;Orb of Alchemy;Chaos Orb;0.52447;High
Legion;2019-07-08;Orb of Alchemy;Chaos Orb;0.54274;High
Legion;2019-07-09;Orb of Alchemy;Chaos Orb;0.57109;High
Legion;2019-07-10;Orb of Alchemy;Chaos Orb;0.61825;High
Legion;2019-07-11;Orb of Alchemy;Chaos Orb;0.65503;High
Legion;2019-07-12;Orb of Alchemy;Chaos Orb;0.6339;High
