League;Date;Get;Pay;Value;Confidence
Necro Settlers;2024-11-07;Orb of Augmentation;Chaos Orb;1;Low
Necro Settlers;2024-11-08;Orb of Augmentation;Chaos Orb;0.4;High
Necro Settlers;2024-11-09;Orb of Augmentation;Chaos Orb;0.12292;High
Necro Settlers;2024-11-10;Orb of Augmentation;Chaos Orb;0.1;High
Necro Settlers;2024-11-11;Orb of Augmentation;Chaos Orb;0.1;High
Necro Settlers;2024-11-12;Orb of Augmentation;Chaos Orb;0.1;High
Necro Settlers;2024-11-13;Orb of Augmentation;Chaos Orb;0.10316;High
Necro Settlers;2024-11-14;Orb of Augmentation;Chaos Orb;0.12491;High
Necro Settlers;2024-11-15;Orb of Augmentation;Chaos Orb;0.14286;High
Necro Settlers;2024-11-16;Orb of Augmentation;Chaos Orb;0.14286;High
Necro Settlers;2024-11-17;Orb of Augmentation;Chaos Orb;0.16773;High
Necro Settlers;2024-11-18;Orb of Augmentation;Chaos Orb;0.16667;High
Necro Settlers;2024-11-19;Orb of Augmentation;Chaos Orb;0.16907;High
Necro Settlers;2024-11-20;Orb of Augmentation;Chaos Orb;0.16752;High
Necro Settlers;2024-11-21;Orb of Augmentation;Chaos Orb;0.18434;High
Necro Settlers;2024-11-22;Orb of Augmentation;Chaos Orb;0.2;High
Necro Settlers;2024-11-23;Orb of Augmentation;Chaos Orb;0.19988;High
Necro Settlers;2024-11-24;Orb of Augmentation;Chaos Orb;0.18075;High
Necro Settlers;2024-11-25;Orb of Augmentation;Chaos Orb;0.18869;High
Necro Settlers;2024-11-26;Orb of Augmentation;Chaos Orb;0.16667;High
Necro Settlers;2024-11-27;Orb of Augmentation;Chaos Orb;0.16667;High
Necro Settlers;2024-11-28;Orb of Augmentation;Chaos Orb;0.15945;High
Necro Settlers;2024-11-29;Orb of Augmentation;Chaos Orb;0.13333;High
Necro Settlers;2024-11-30;Orb of Augmentation;Chaos Orb;0.12917;High
Necro Settlers;2024-12-01;Orb of Augmentation;Chaos Orb;0.125;High
Necro Settlers;2024-12-02;Orb of Augmentation;Chaos Orb;0.125;High
Necro Settlers;2024-12-03;Orb of Augmentation;Chaos Orb;0.11237;High
Necro Settlers;2024-12-04;Orb of Augmentation;Chaos Orb;0.11869;High
Necro Settlers;2024-12-05;Orb of Augmentation;Chaos Orb;0.11111;High
Necro Settlers;2024-12-06;Orb of Augmentation;Chaos Orb;0.11111;High
Necro Settlers;2024-12-07;Orb of Augmentation;Chaos Orb;0.11111;High
Necro Settlers;2024-12-08;Orb of Augmentation;Chaos Orb;0.11111;High
Necro Settlers;2024-12-09;Orb of Augmentation;Chaos Orb;0.11111;High
Necro Settlers;2024-12-10;Orb of Augmentation;Chaos Orb;0.11111;High
Necro Settlers;2024-12-11;Orb of Augmentation;Chaos Orb;0.11111;High
Necro Settlers;2024-12-12;Orb of Augmentation;Chaos Orb;0.11111;High
Necro Settlers;2024-12-13;Orb of Augmentation;Chaos Orb;0.11111;High
Necro Settlers;2024-12-14;Orb of Augmentation;Chaos Orb;0.10909;High
Necro Settlers;2024-12-15;Orb of Augmentation;Chaos Orb;0.10111;High
Necro Settlers;2024-12-16;Orb of Augmentation;Chaos Orb;0.10111;High
Necro Settlers;2024-12-17;Orb of Augmentation;Chaos Orb;0.10333;High
Necro Settlers;2024-12-18;Orb of Augmentation;Chaos Orb;0.1;High
Necro Settlers;2024-12-19;Orb of Augmentation;Chaos Orb;0.1;High
Necro Settlers;2024-12-20;Orb of Augmentation;Chaos Orb;0.1;High
Necro Settlers;2024-12-21;Orb of Augmentation;Chaos Orb;0.1;High
Necro Settlers;2024-12-22;Orb of Augmentation;Chaos Orb;0.10111;High
Necro Settlers;2024-12-23;Orb of Augmentation;Chaos Orb;0.11111;High
Necro Settlers;2024-12-24;Orb of Augmentation;Chaos Orb;0.11111;High
Necro Settlers;2024-12-25;Orb of Augmentation;Chaos Orb;0.11111;Medium
Necro Settlers;2024-12-26;Orb of Augmentation;Chaos Orb;0.11111;High
Necro Settlers;2024-12-27;Orb of Augmentation;Chaos Orb;0.11111;High
Necro Settlers;2024-12-28;Orb of Augmentation;Chaos Orb;0.11111;Medium
Necro Settlers;2024-12-29;Orb of Augmentation;Chaos Orb;0.11111;Medium
Necro Settlers;2024-12-30;Orb of Augmentation;Chaos Orb;0.11111;Medium
Necro Settlers;2024-12-31;Orb of Augmentation;Chaos Orb;0.11111;Medium
Necro Settlers;2025-01-01;Orb of Augmentation;Chaos Orb;0.11111;Medium
Necro Settlers;2025-01-02;Orb of Augmentation;Chaos Orb;0.11111;Medium
Necro Settlers;2025-01-03;Orb of Augmentation;Chaos Orb;0.11111;Medium
Necro Settlers;2025-01-04;Orb of Augmentation;Chaos Orb;0.11111;Medium
Necro Settlers;2025-01-05;Orb of Augmentation;Chaos Orb;0.11111;Low
Necro Settlers;2025-01-06;Orb of Augmentation;Chaos Orb;0.11111;Low
Necro Settlers;2025-01-07;Orb of Augmentation;Chaos Orb;0.12222;Low
Necro Settlers;2025-01-08;Orb of Augmentation;Chaos Orb;0.13333;Low
Necro Settlers;2025-01-09;Orb of Augmentation;Chaos Orb;0.12388;Low
Necro Settlers;2025-01-10;Orb of Augmentation;Chaos Orb;0.12388;Low
Necro Settlers;2025-01-11;Orb of Augmentation;Chaos Orb;0.12388;Low
Necro Settlers;2025-01-12;Orb of Augmentation;Chaos Orb;0.13664;Low
Necro Settlers;2025-01-13;Orb of Augmentation;Chaos Orb;0.10222;Low
Necro Settlers;2025-01-14;Orb of Augmentation;Chaos Orb;0.12333;Low
Necro Settlers;2025-01-15;Orb of Augmentation;Chaos Orb;0.12333;Low
Necro Settlers;2025-01-16;Orb of Augmentation;Chaos Orb;0.12333;Low
Necro Settlers;2025-01-17;Orb of Augmentation;Chaos Orb;0.12333;Low
Necro Settlers;2025-01-18;Orb of Augmentation;Chaos Orb;0.12333;Low
Necro Settlers;2025-01-19;Orb of Augmentation;Chaos Orb;0.19;Low
Necro Settlers;2025-01-20;Orb of Augmentation;Chaos Orb;1;Low
Necro Settlers;2025-01-21;Orb of Augmentation;Chaos Orb;1;Low
Necro Settlers;2025-01-22;Orb of Augmentation;Chaos Orb;21.15687;Low
Necro Settlers;2025-01-23;Orb of Augmentation;Chaos Orb;21.15687;Low
Necro Settlers;2025-01-24;Orb of Augmentation;Chaos Orb;0.17015;Low
Necro Settlers;2025-01-25;Orb of Augmentation;Chaos Orb;0.17015;Low
Necro Settlers;2025-01-26;Orb of Augmentation;Chaos Orb;0.17098;Low
Necro Settlers;2025-01-27;Orb of Augmentation;Chaos Orb;0.16932;Low
Necro Settlers;2025-01-28;Orb of Augmentation;Chaos Orb;0.1826;Low
Necro Settlers;2025-01-29;Orb of Augmentation;Chaos Orb;0.18418;Low
Necro Settlers;2025-01-30;Orb of Augmentation;Chaos Orb;0.18509;Low
Necro Settlers;2025-01-31;Orb of Augmentation;Chaos Orb;0.33333;Low
Necro Settlers;2025-02-01;Orb of Augmentation;Chaos Orb;0.33333;Low
Necro Settlers;2025-02-02;Orb of Augmentation;Chaos Orb;0.24762;Low
Necro Settlers;2025-02-03;Orb of Augmentation;Chaos Orb;0.24762;Low
