League;Date;Get;Pay;Value;Confidence
Synthesis;2019-03-08;Chromatic Orb;Chaos Orb;1;High
Synthesis;2019-03-09;Chromatic Orb;Chaos Orb;0.5;High
Synthesis;2019-03-10;Chromatic Orb;Chaos Orb;0.15778;High
Synthesis;2019-03-11;Chromatic Orb;Chaos Orb;0.11534;High
Synthesis;2019-03-12;Chromatic Orb;Chaos Orb;0.10526;High
Synthesis;2019-03-13;Chromatic Orb;Chaos Orb;0.09789;High
Synthesis;2019-03-14;Chromatic Orb;Chaos Orb;0.09798;High
Synthesis;2019-03-15;Chromatic Orb;Chaos Orb;0.11765;High
Synthesis;2019-03-16;Chromatic Orb;Chaos Orb;0.11875;High
Synthesis;2019-03-17;Chromatic Orb;Chaos Orb;0.11765;High
Synthesis;2019-03-18;Chromatic Orb;Chaos Orb;0.11111;High
Synthesis;2019-03-19;Chromatic Orb;Chaos Orb;0.11033;High
Synthesis;2019-03-20;Chromatic Orb;Chaos Orb;0.1092;High
Synthesis;2019-03-21;Chromatic Orb;Chaos Orb;0.10345;High
Synthesis;2019-03-22;Chromatic Orb;Chaos Orb;0.10145;High
Synthesis;2019-03-23;Chromatic Orb;Chaos Orb;0.09524;High
Synthesis;2019-03-24;Chromatic Orb;Chaos Orb;0.08843;High
Synthesis;2019-03-25;Chromatic Orb;Chaos Orb;0.07683;High
Synthesis;2019-03-26;Chromatic Orb;Chaos Orb;0.06667;High
Synthesis;2019-03-27;Chromatic Orb;Chaos Orb;0.06177;High
Synthesis;2019-03-28;Chromatic Orb;Chaos Orb;0.06701;High
Synthesis;2019-03-29;Chromatic Orb;Chaos Orb;0.07915;High
Synthesis;2019-03-30;Chromatic Orb;Chaos Orb;0.08333;High
Synthesis;2019-03-31;Chromatic Orb;Chaos Orb;0.08333;High
Synthesis;2019-04-01;Chromatic Orb;Chaos Orb;0.08796;High
Synthesis;2019-04-02;Chromatic Orb;Chaos Orb;0.08103;High
Synthesis;2019-04-03;Chromatic Orb;Chaos Orb;0.08163;High
Synthesis;2019-04-04;Chromatic Orb;Chaos Orb;0.08322;High
Synthesis;2019-04-05;Chromatic Orb;Chaos Orb;0.10714;High
Synthesis;2019-04-06;Chromatic Orb;Chaos Orb;0.09997;High
Synthesis;2019-04-07;Chromatic Orb;Chaos Orb;0.09996;High
Synthesis;2019-04-08;Chromatic Orb;Chaos Orb;0.1;High
Synthesis;2019-04-09;Chromatic Orb;Chaos Orb;0.0999;High
Synthesis;2019-04-10;Chromatic Orb;Chaos Orb;0.1;High
Synthesis;2019-04-11;Chromatic Orb;Chaos Orb;0.1;High
Synthesis;2019-04-12;Chromatic Orb;Chaos Orb;0.09615;High
Synthesis;2019-04-13;Chromatic Orb;Chaos Orb;0.09091;High
Synthesis;2019-04-14;Chromatic Orb;Chaos Orb;0.08333;High
Synthesis;2019-04-15;Chromatic Orb;Chaos Orb;0.07801;High
Synthesis;2019-04-16;Chromatic Orb;Chaos Orb;0.07407;High
Synthesis;2019-04-17;Chromatic Orb;Chaos Orb;0.07143;High
Synthesis;2019-04-18;Chromatic Orb;Chaos Orb;0.07143;High
Synthesis;2019-04-19;Chromatic Orb;Chaos Orb;0.06993;High
Synthesis;2019-04-20;Chromatic Orb;Chaos Orb;0.06897;High
Synthesis;2019-04-21;Chromatic Orb;Chaos Orb;0.0625;High
Synthesis;2019-04-22;Chromatic Orb;Chaos Orb;0.05556;High
Synthesis;2019-04-23;Chromatic Orb;Chaos Orb;0.05263;High
Synthesis;2019-04-24;Chromatic Orb;Chaos Orb;0.04803;High
Synthesis;2019-04-25;Chromatic Orb;Chaos Orb;0.04762;High
